 host 	 metric 	 time 	 value 
 host52 	 m2 	 2019-10-19  07:13:43  +0000 	760.0
 host52 	 m2 	 2019-10-19  07:13:43  +0000 	700.0
 host52 	 m2 	 2019-10-19  07:13:44  +0000 	630.0
 host52 	 m2 	 2019-10-19  07:13:44  +0000 	560.0
 host52 	 m2 	 2019-10-19  07:13:44  +0000 	530.0
 host52 	 m2 	 2019-10-19  07:13:44  +0000 	540.0
 host52 	 m2 	 2019-10-19  07:13:45  +0000 	390.0
 host97 	 m3 	 2019-10-19  07:13:41  +0000 	10000.0
 host97 	 m3 	 2019-10-19  07:13:41  +0000 	9200.0
 host97 	 m3 	 2019-10-19  07:13:42  +0000 	9000.0
 host97 	 m3 	 2019-10-19  07:13:42  +0000 	7600.0
 host97 	 m3 	 2019-10-19  07:13:42  +0000 	7500.0
 host97 	 m3 	 2019-10-19  07:13:43  +0000 	7300.0
 host97 	 m3 	 2019-10-19  07:13:44  +0000 	6900.0
 host97 	 m3 	 2019-10-19  07:13:44  +0000 	5900.0
 host97 	 m3 	 2019-10-19  07:13:44  +0000 	5600.0
 host97 	 m3 	 2019-10-19  07:13:44  +0000 	5600.0
 host97 	 m3 	 2019-10-19  07:13:45  +0000 	3900.0
 host97 	 m3 	 2019-10-19  07:13:45  +0000 	3900.0
 host76 	 m3 	 2019-10-19  07:13:42  +0000 	8700.0
 host76 	 m3 	 2019-10-19  07:13:42  +0000 	8800.0
 host76 	 m3 	 2019-10-19  07:13:42  +0000 	7900.0
 host76 	 m3 	 2019-10-19  07:13:43  +0000 	7400.0
 host76 	 m3 	 2019-10-19  07:13:43  +0000 	7400.0
 host76 	 m3 	 2019-10-19  07:13:43  +0000 	7400.0
 host76 	 m3 	 2019-10-19  07:13:43  +0000 	7800.0
 host76 	 m3 	 2019-10-19  07:13:44  +0000 	6600.0
 host76 	 m3 	 2019-10-19  07:13:44  +0000 	5800.0
 host76 	 m3 	 2019-10-19  07:13:44  +0000 	5900.0
 host76 	 m3 	 2019-10-19  07:13:44  +0000 	5800.0
 host76 	 m3 	 2019-10-19  07:13:44  +0000 	5700.0
 host76 	 m3 	 2019-10-19  07:13:44  +0000 	4900.0
 host76 	 m3 	 2019-10-19  07:13:44  +0000 	4500.0
 host76 	 m3 	 2019-10-19  07:13:45  +0000 	4000.0
 host53 	 m1 	 2019-10-19  07:13:41  +0000 	99.0
 host53 	 m1 	 2019-10-19  07:13:41  +0000 	92.0
 host53 	 m1 	 2019-10-19  07:13:42  +0000 	88.0
 host53 	 m1 	 2019-10-19  07:13:43  +0000 	72.0
 host53 	 m1 	 2019-10-19  07:13:44  +0000 	45.0
 host53 	 m1 	 2019-10-19  07:13:45  +0000 	38.0
 host12 	 m2 	 2019-10-19  07:13:41  +0000 	930.0
 host12 	 m2 	 2019-10-19  07:13:41  +0000 	950.0
 host12 	 m2 	 2019-10-19  07:13:42  +0000 	870.0
 host12 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host12 	 m2 	 2019-10-19  07:13:42  +0000 	770.0
 host12 	 m2 	 2019-10-19  07:13:43  +0000 	730.0
 host12 	 m2 	 2019-10-19  07:13:44  +0000 	650.0
 host12 	 m2 	 2019-10-19  07:13:44  +0000 	490.0
 host12 	 m2 	 2019-10-19  07:13:45  +0000 	390.0
 host73 	 m3 	 2019-10-19  07:13:41  +0000 	9100.0
 host73 	 m3 	 2019-10-19  07:13:42  +0000 	8800.0
 host73 	 m3 	 2019-10-19  07:13:42  +0000 	8900.0
 host73 	 m3 	 2019-10-19  07:13:42  +0000 	8700.0
 host73 	 m3 	 2019-10-19  07:13:42  +0000 	8800.0
 host73 	 m3 	 2019-10-19  07:13:42  +0000 	7800.0
 host73 	 m3 	 2019-10-19  07:13:43  +0000 	7000.0
 host73 	 m3 	 2019-10-19  07:13:43  +0000 	7900.0
 host73 	 m3 	 2019-10-19  07:13:44  +0000 	7000.0
 host73 	 m3 	 2019-10-19  07:13:44  +0000 	5800.0
 host73 	 m3 	 2019-10-19  07:13:44  +0000 	6000.0
 host73 	 m3 	 2019-10-19  07:13:44  +0000 	5500.0
 host33 	 m2 	 2019-10-19  07:13:41  +0000 	930.0
 host33 	 m2 	 2019-10-19  07:13:42  +0000 	800.0
 host33 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host33 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host33 	 m2 	 2019-10-19  07:13:43  +0000 	700.0
 host33 	 m2 	 2019-10-19  07:13:43  +0000 	720.0
 host33 	 m2 	 2019-10-19  07:13:43  +0000 	770.0
 host33 	 m2 	 2019-10-19  07:13:44  +0000 	670.0
 host50 	 m1 	 2019-10-19  07:13:41  +0000 	99.0
 host50 	 m1 	 2019-10-19  07:13:42  +0000 	91.0
 host50 	 m1 	 2019-10-19  07:13:42  +0000 	74.0
 host50 	 m1 	 2019-10-19  07:13:43  +0000 	79.0
 host50 	 m1 	 2019-10-19  07:13:43  +0000 	78.0
 host50 	 m1 	 2019-10-19  07:13:43  +0000 	77.0
 host50 	 m1 	 2019-10-19  07:13:44  +0000 	65.0
 host50 	 m1 	 2019-10-19  07:13:45  +0000 	37.0
 host30 	 m1 	 2019-10-19  07:13:41  +0000 	93.0
 host30 	 m1 	 2019-10-19  07:13:41  +0000 	94.0
 host30 	 m1 	 2019-10-19  07:13:41  +0000 	91.0
 host30 	 m1 	 2019-10-19  07:13:42  +0000 	88.0
 host30 	 m1 	 2019-10-19  07:13:43  +0000 	74.0
 host30 	 m1 	 2019-10-19  07:13:44  +0000 	57.0
 host30 	 m1 	 2019-10-19  07:13:44  +0000 	58.0
 host30 	 m1 	 2019-10-19  07:13:44  +0000 	42.0
 host30 	 m1 	 2019-10-19  07:13:45  +0000 	43.0
 host39 	 m1 	 2019-10-19  07:13:42  +0000 	75.0
 host39 	 m1 	 2019-10-19  07:13:43  +0000 	70.0
 host39 	 m1 	 2019-10-19  07:13:43  +0000 	73.0
 host39 	 m1 	 2019-10-19  07:13:43  +0000 	80.0
 host39 	 m1 	 2019-10-19  07:13:44  +0000 	60.0
 host39 	 m1 	 2019-10-19  07:13:44  +0000 	48.0
 host39 	 m1 	 2019-10-19  07:13:44  +0000 	46.0
 host49 	 m2 	 2019-10-19  07:13:41  +0000 	910.0
 host49 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host49 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host49 	 m2 	 2019-10-19  07:13:42  +0000 	780.0
 host49 	 m2 	 2019-10-19  07:13:43  +0000 	720.0
 host49 	 m2 	 2019-10-19  07:13:43  +0000 	810.0
 host49 	 m2 	 2019-10-19  07:13:43  +0000 	700.0
 host49 	 m2 	 2019-10-19  07:13:43  +0000 	710.0
 host49 	 m2 	 2019-10-19  07:13:44  +0000 	600.0
 host49 	 m2 	 2019-10-19  07:13:44  +0000 	600.0
 host49 	 m2 	 2019-10-19  07:13:44  +0000 	460.0
 host49 	 m2 	 2019-10-19  07:13:44  +0000 	400.0
 host49 	 m2 	 2019-10-19  07:13:45  +0000 	390.0
 host49 	 m2 	 2019-10-19  07:13:45  +0000 	400.0
 host49 	 m2 	 2019-10-19  07:13:45  +0000 	400.0
 host11 	 m3 	 2019-10-19  07:13:42  +0000 	8400.0
 host11 	 m3 	 2019-10-19  07:13:42  +0000 	8000.0
 host11 	 m3 	 2019-10-19  07:13:42  +0000 	7900.0
 host11 	 m3 	 2019-10-19  07:13:42  +0000 	7500.0
 host11 	 m3 	 2019-10-19  07:13:43  +0000 	7200.0
 host11 	 m3 	 2019-10-19  07:13:43  +0000 	8100.0
 host11 	 m3 	 2019-10-19  07:13:44  +0000 	6200.0
 host11 	 m3 	 2019-10-19  07:13:44  +0000 	5900.0
 host11 	 m3 	 2019-10-19  07:13:44  +0000 	4600.0
 host11 	 m3 	 2019-10-19  07:13:44  +0000 	4500.0
 host11 	 m3 	 2019-10-19  07:13:45  +0000 	3700.0
 host36 	 m2 	 2019-10-19  07:13:41  +0000 	920.0
 host36 	 m2 	 2019-10-19  07:13:42  +0000 	750.0
 host36 	 m2 	 2019-10-19  07:13:42  +0000 	750.0
 host36 	 m2 	 2019-10-19  07:13:43  +0000 	740.0
 host36 	 m2 	 2019-10-19  07:13:43  +0000 	760.0
 host36 	 m2 	 2019-10-19  07:13:43  +0000 	740.0
 host36 	 m2 	 2019-10-19  07:13:43  +0000 	710.0
 host36 	 m2 	 2019-10-19  07:13:44  +0000 	470.0
 host36 	 m2 	 2019-10-19  07:13:44  +0000 	450.0
 host36 	 m2 	 2019-10-19  07:13:45  +0000 	400.0
 host36 	 m1 	 2019-10-19  07:13:41  +0000 	92.0
 host36 	 m1 	 2019-10-19  07:13:42  +0000 	75.0
 host36 	 m1 	 2019-10-19  07:13:42  +0000 	75.0
 host36 	 m1 	 2019-10-19  07:13:43  +0000 	74.0
 host36 	 m1 	 2019-10-19  07:13:43  +0000 	76.0
 host36 	 m1 	 2019-10-19  07:13:43  +0000 	74.0
 host36 	 m1 	 2019-10-19  07:13:43  +0000 	71.0
 host36 	 m1 	 2019-10-19  07:13:44  +0000 	47.0
 host36 	 m1 	 2019-10-19  07:13:44  +0000 	45.0
 host36 	 m1 	 2019-10-19  07:13:45  +0000 	40.0
 host19 	 m1 	 2019-10-19  07:13:41  +0000 	91.0
 host19 	 m1 	 2019-10-19  07:13:41  +0000 	90.0
 host19 	 m1 	 2019-10-19  07:13:41  +0000 	93.0
 host19 	 m1 	 2019-10-19  07:13:42  +0000 	88.0
 host19 	 m1 	 2019-10-19  07:13:42  +0000 	90.0
 host19 	 m1 	 2019-10-19  07:13:42  +0000 	89.0
 host19 	 m1 	 2019-10-19  07:13:42  +0000 	89.0
 host19 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host19 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host19 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host19 	 m1 	 2019-10-19  07:13:43  +0000 	71.0
 host19 	 m1 	 2019-10-19  07:13:43  +0000 	72.0
 host19 	 m1 	 2019-10-19  07:13:43  +0000 	76.0
 host19 	 m1 	 2019-10-19  07:13:43  +0000 	75.0
 host19 	 m1 	 2019-10-19  07:13:43  +0000 	79.0
 host19 	 m1 	 2019-10-19  07:13:44  +0000 	58.0
 host19 	 m1 	 2019-10-19  07:13:44  +0000 	54.0
 host19 	 m1 	 2019-10-19  07:13:45  +0000 	39.0
 host41 	 m2 	 2019-10-19  07:13:41  +0000 	990.0
 host41 	 m2 	 2019-10-19  07:13:42  +0000 	880.0
 host41 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host41 	 m2 	 2019-10-19  07:13:43  +0000 	730.0
 host41 	 m2 	 2019-10-19  07:13:43  +0000 	710.0
 host41 	 m2 	 2019-10-19  07:13:43  +0000 	730.0
 host41 	 m2 	 2019-10-19  07:13:43  +0000 	800.0
 host41 	 m2 	 2019-10-19  07:13:43  +0000 	780.0
 host41 	 m2 	 2019-10-19  07:13:43  +0000 	700.0
 host41 	 m2 	 2019-10-19  07:13:44  +0000 	560.0
 host41 	 m2 	 2019-10-19  07:13:44  +0000 	460.0
 host41 	 m2 	 2019-10-19  07:13:44  +0000 	440.0
 host31 	 m1 	 2019-10-19  07:13:43  +0000 	70.0
 host31 	 m1 	 2019-10-19  07:13:43  +0000 	82.0
 host31 	 m1 	 2019-10-19  07:13:43  +0000 	70.0
 host31 	 m1 	 2019-10-19  07:13:44  +0000 	59.0
 host31 	 m1 	 2019-10-19  07:13:44  +0000 	59.0
 host31 	 m1 	 2019-10-19  07:13:44  +0000 	42.0
 host31 	 m1 	 2019-10-19  07:13:45  +0000 	39.0
 host99 	 m1 	 2019-10-19  07:13:42  +0000 	87.0
 host99 	 m1 	 2019-10-19  07:13:42  +0000 	90.0
 host99 	 m1 	 2019-10-19  07:13:42  +0000 	78.0
 host99 	 m1 	 2019-10-19  07:13:42  +0000 	76.0
 host99 	 m1 	 2019-10-19  07:13:43  +0000 	72.0
 host99 	 m1 	 2019-10-19  07:13:43  +0000 	79.0
 host99 	 m1 	 2019-10-19  07:13:44  +0000 	69.0
 host99 	 m1 	 2019-10-19  07:13:44  +0000 	59.0
 host99 	 m1 	 2019-10-19  07:13:44  +0000 	50.0
 host23 	 m3 	 2019-10-19  07:13:42  +0000 	7400.0
 host23 	 m3 	 2019-10-19  07:13:43  +0000 	7500.0
 host23 	 m3 	 2019-10-19  07:13:43  +0000 	7500.0
 host23 	 m3 	 2019-10-19  07:13:43  +0000 	7900.0
 host23 	 m3 	 2019-10-19  07:13:44  +0000 	6000.0
 host57 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host57 	 m1 	 2019-10-19  07:13:42  +0000 	75.0
 host57 	 m1 	 2019-10-19  07:13:42  +0000 	75.0
 host57 	 m1 	 2019-10-19  07:13:43  +0000 	80.0
 host57 	 m1 	 2019-10-19  07:13:43  +0000 	69.0
 host57 	 m1 	 2019-10-19  07:13:43  +0000 	68.0
 host57 	 m1 	 2019-10-19  07:13:44  +0000 	58.0
 host57 	 m1 	 2019-10-19  07:13:44  +0000 	56.0
 host30 	 m3 	 2019-10-19  07:13:41  +0000 	9300.0
 host30 	 m3 	 2019-10-19  07:13:41  +0000 	9400.0
 host30 	 m3 	 2019-10-19  07:13:41  +0000 	9100.0
 host30 	 m3 	 2019-10-19  07:13:42  +0000 	8800.0
 host30 	 m3 	 2019-10-19  07:13:43  +0000 	7400.0
 host30 	 m3 	 2019-10-19  07:13:44  +0000 	5700.0
 host30 	 m3 	 2019-10-19  07:13:44  +0000 	5800.0
 host30 	 m3 	 2019-10-19  07:13:44  +0000 	4200.0
 host30 	 m3 	 2019-10-19  07:13:45  +0000 	4300.0
 host40 	 m1 	 2019-10-19  07:13:41  +0000 	92.0
 host40 	 m1 	 2019-10-19  07:13:43  +0000 	74.0
 host40 	 m1 	 2019-10-19  07:13:44  +0000 	51.0
 host40 	 m1 	 2019-10-19  07:13:44  +0000 	41.0
 host90 	 m1 	 2019-10-19  07:13:41  +0000 	99.0
 host90 	 m1 	 2019-10-19  07:13:42  +0000 	89.0
 host90 	 m1 	 2019-10-19  07:13:42  +0000 	79.0
 host90 	 m1 	 2019-10-19  07:13:42  +0000 	76.0
 host90 	 m1 	 2019-10-19  07:13:43  +0000 	69.0
 host90 	 m1 	 2019-10-19  07:13:43  +0000 	76.0
 host62 	 m1 	 2019-10-19  07:13:41  +0000 	100.0
 host62 	 m1 	 2019-10-19  07:13:42  +0000 	87.0
 host62 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host62 	 m1 	 2019-10-19  07:13:43  +0000 	74.0
 host62 	 m1 	 2019-10-19  07:13:43  +0000 	72.0
 host62 	 m1 	 2019-10-19  07:13:43  +0000 	79.0
 host62 	 m1 	 2019-10-19  07:13:43  +0000 	81.0
 host62 	 m1 	 2019-10-19  07:13:44  +0000 	54.0
 host62 	 m1 	 2019-10-19  07:13:45  +0000 	38.0
 host95 	 m1 	 2019-10-19  07:13:41  +0000 	95.0
 host95 	 m1 	 2019-10-19  07:13:42  +0000 	90.0
 host95 	 m1 	 2019-10-19  07:13:42  +0000 	88.0
 host95 	 m1 	 2019-10-19  07:13:43  +0000 	72.0
 host95 	 m1 	 2019-10-19  07:13:43  +0000 	69.0
 host95 	 m1 	 2019-10-19  07:13:43  +0000 	77.0
 host95 	 m1 	 2019-10-19  07:13:44  +0000 	67.0
 host95 	 m1 	 2019-10-19  07:13:44  +0000 	57.0
 host95 	 m1 	 2019-10-19  07:13:44  +0000 	53.0
 host95 	 m1 	 2019-10-19  07:13:45  +0000 	42.0
 host95 	 m1 	 2019-10-19  07:13:45  +0000 	40.0
 host37 	 m3 	 2019-10-19  07:13:42  +0000 	9000.0
 host37 	 m3 	 2019-10-19  07:13:42  +0000 	8800.0
 host37 	 m3 	 2019-10-19  07:13:42  +0000 	8800.0
 host37 	 m3 	 2019-10-19  07:13:42  +0000 	7800.0
 host37 	 m3 	 2019-10-19  07:13:43  +0000 	7500.0
 host37 	 m3 	 2019-10-19  07:13:43  +0000 	8200.0
 host37 	 m3 	 2019-10-19  07:13:43  +0000 	7900.0
 host37 	 m3 	 2019-10-19  07:13:43  +0000 	7000.0
 host37 	 m3 	 2019-10-19  07:13:43  +0000 	7100.0
 host37 	 m3 	 2019-10-19  07:13:44  +0000 	7000.0
 host37 	 m3 	 2019-10-19  07:13:44  +0000 	4800.0
 host37 	 m3 	 2019-10-19  07:13:44  +0000 	4500.0
 host65 	 m1 	 2019-10-19  07:13:41  +0000 	99.0
 host65 	 m1 	 2019-10-19  07:13:41  +0000 	93.0
 host65 	 m1 	 2019-10-19  07:13:42  +0000 	87.0
 host65 	 m1 	 2019-10-19  07:13:42  +0000 	79.0
 host65 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host65 	 m1 	 2019-10-19  07:13:42  +0000 	74.0
 host65 	 m1 	 2019-10-19  07:13:44  +0000 	70.0
 host65 	 m1 	 2019-10-19  07:13:44  +0000 	70.0
 host65 	 m1 	 2019-10-19  07:13:44  +0000 	63.0
 host65 	 m1 	 2019-10-19  07:13:44  +0000 	57.0
 host65 	 m1 	 2019-10-19  07:13:44  +0000 	55.0
 host65 	 m1 	 2019-10-19  07:13:44  +0000 	47.0
 host96 	 m3 	 2019-10-19  07:13:41  +0000 	9200.0
 host96 	 m3 	 2019-10-19  07:13:42  +0000 	8700.0
 host96 	 m3 	 2019-10-19  07:13:42  +0000 	8900.0
 host96 	 m3 	 2019-10-19  07:13:43  +0000 	7200.0
 host96 	 m3 	 2019-10-19  07:13:43  +0000 	7800.0
 host96 	 m3 	 2019-10-19  07:13:43  +0000 	7800.0
 host96 	 m3 	 2019-10-19  07:13:43  +0000 	8200.0
 host96 	 m3 	 2019-10-19  07:13:43  +0000 	8200.0
 host96 	 m3 	 2019-10-19  07:13:43  +0000 	8100.0
 host96 	 m3 	 2019-10-19  07:13:44  +0000 	4800.0
 host96 	 m3 	 2019-10-19  07:13:45  +0000 	3800.0
 host59 	 m2 	 2019-10-19  07:13:41  +0000 	930.0
 host59 	 m2 	 2019-10-19  07:13:42  +0000 	890.0
 host59 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host59 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host59 	 m2 	 2019-10-19  07:13:42  +0000 	740.0
 host59 	 m2 	 2019-10-19  07:13:43  +0000 	730.0
 host59 	 m2 	 2019-10-19  07:13:43  +0000 	740.0
 host59 	 m2 	 2019-10-19  07:13:43  +0000 	710.0
 host59 	 m2 	 2019-10-19  07:13:44  +0000 	570.0
 host59 	 m2 	 2019-10-19  07:13:44  +0000 	550.0
 host59 	 m2 	 2019-10-19  07:13:44  +0000 	560.0
 host59 	 m2 	 2019-10-19  07:13:44  +0000 	510.0
 host4 	 m3 	 2019-10-19  07:13:41  +0000 	9300.0
 host4 	 m3 	 2019-10-19  07:13:42  +0000 	7500.0
 host4 	 m3 	 2019-10-19  07:13:43  +0000 	7400.0
 host4 	 m3 	 2019-10-19  07:13:43  +0000 	7600.0
 host4 	 m3 	 2019-10-19  07:13:43  +0000 	7000.0
 host4 	 m3 	 2019-10-19  07:13:43  +0000 	6700.0
 host4 	 m3 	 2019-10-19  07:13:44  +0000 	6800.0
 host4 	 m3 	 2019-10-19  07:13:44  +0000 	6700.0
 host4 	 m3 	 2019-10-19  07:13:44  +0000 	6200.0
 host4 	 m3 	 2019-10-19  07:13:45  +0000 	3900.0
 host29 	 m3 	 2019-10-19  07:13:42  +0000 	7800.0
 host29 	 m3 	 2019-10-19  07:13:42  +0000 	7600.0
 host29 	 m3 	 2019-10-19  07:13:42  +0000 	7400.0
 host29 	 m3 	 2019-10-19  07:13:43  +0000 	7200.0
 host29 	 m3 	 2019-10-19  07:13:43  +0000 	7900.0
 host29 	 m3 	 2019-10-19  07:13:44  +0000 	6800.0
 host29 	 m3 	 2019-10-19  07:13:44  +0000 	6800.0
 host29 	 m3 	 2019-10-19  07:13:44  +0000 	5300.0
 host29 	 m3 	 2019-10-19  07:13:44  +0000 	5100.0
 host29 	 m3 	 2019-10-19  07:13:44  +0000 	4900.0
 host81 	 m2 	 2019-10-19  07:13:41  +0000 	1000.0
 host81 	 m2 	 2019-10-19  07:13:41  +0000 	930.0
 host81 	 m2 	 2019-10-19  07:13:41  +0000 	930.0
 host81 	 m2 	 2019-10-19  07:13:41  +0000 	910.0
 host81 	 m2 	 2019-10-19  07:13:42  +0000 	880.0
 host81 	 m2 	 2019-10-19  07:13:42  +0000 	780.0
 host81 	 m2 	 2019-10-19  07:13:42  +0000 	780.0
 host81 	 m2 	 2019-10-19  07:13:43  +0000 	760.0
 host81 	 m2 	 2019-10-19  07:13:43  +0000 	800.0
 host81 	 m2 	 2019-10-19  07:13:43  +0000 	730.0
 host81 	 m2 	 2019-10-19  07:13:44  +0000 	690.0
 host81 	 m2 	 2019-10-19  07:13:44  +0000 	610.0
 host81 	 m2 	 2019-10-19  07:13:44  +0000 	540.0
 host81 	 m2 	 2019-10-19  07:13:44  +0000 	440.0
 host81 	 m2 	 2019-10-19  07:13:45  +0000 	390.0
 host26 	 m2 	 2019-10-19  07:13:42  +0000 	880.0
 host26 	 m2 	 2019-10-19  07:13:42  +0000 	780.0
 host26 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host26 	 m2 	 2019-10-19  07:13:42  +0000 	740.0
 host26 	 m2 	 2019-10-19  07:13:43  +0000 	720.0
 host26 	 m2 	 2019-10-19  07:13:44  +0000 	570.0
 host26 	 m2 	 2019-10-19  07:13:44  +0000 	580.0
 host26 	 m2 	 2019-10-19  07:13:44  +0000 	560.0
 host26 	 m2 	 2019-10-19  07:13:44  +0000 	570.0
 host26 	 m2 	 2019-10-19  07:13:44  +0000 	490.0
 host26 	 m2 	 2019-10-19  07:13:44  +0000 	420.0
 host26 	 m2 	 2019-10-19  07:13:44  +0000 	410.0
 host100 	 m1 	 2019-10-19  07:13:43  +0000 	71.0
 host100 	 m1 	 2019-10-19  07:13:43  +0000 	79.0
 host100 	 m1 	 2019-10-19  07:13:43  +0000 	78.0
 host100 	 m1 	 2019-10-19  07:13:44  +0000 	65.0
 host100 	 m1 	 2019-10-19  07:13:44  +0000 	54.0
 host100 	 m1 	 2019-10-19  07:13:45  +0000 	42.0
 host49 	 m1 	 2019-10-19  07:13:41  +0000 	91.0
 host49 	 m1 	 2019-10-19  07:13:42  +0000 	79.0
 host49 	 m1 	 2019-10-19  07:13:42  +0000 	79.0
 host49 	 m1 	 2019-10-19  07:13:42  +0000 	78.0
 host49 	 m1 	 2019-10-19  07:13:43  +0000 	72.0
 host49 	 m1 	 2019-10-19  07:13:43  +0000 	81.0
 host49 	 m1 	 2019-10-19  07:13:43  +0000 	70.0
 host49 	 m1 	 2019-10-19  07:13:43  +0000 	71.0
 host49 	 m1 	 2019-10-19  07:13:44  +0000 	60.0
 host49 	 m1 	 2019-10-19  07:13:44  +0000 	60.0
 host49 	 m1 	 2019-10-19  07:13:44  +0000 	46.0
 host49 	 m1 	 2019-10-19  07:13:44  +0000 	40.0
 host49 	 m1 	 2019-10-19  07:13:45  +0000 	39.0
 host49 	 m1 	 2019-10-19  07:13:45  +0000 	40.0
 host49 	 m1 	 2019-10-19  07:13:45  +0000 	40.0
 host31 	 m3 	 2019-10-19  07:13:43  +0000 	7000.0
 host31 	 m3 	 2019-10-19  07:13:43  +0000 	8200.0
 host31 	 m3 	 2019-10-19  07:13:43  +0000 	7000.0
 host31 	 m3 	 2019-10-19  07:13:44  +0000 	5900.0
 host31 	 m3 	 2019-10-19  07:13:44  +0000 	5900.0
 host31 	 m3 	 2019-10-19  07:13:44  +0000 	4200.0
 host31 	 m3 	 2019-10-19  07:13:45  +0000 	3900.0
 host82 	 m2 	 2019-10-19  07:13:41  +0000 	910.0
 host82 	 m2 	 2019-10-19  07:13:42  +0000 	860.0
 host82 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host82 	 m2 	 2019-10-19  07:13:42  +0000 	770.0
 host82 	 m2 	 2019-10-19  07:13:42  +0000 	760.0
 host82 	 m2 	 2019-10-19  07:13:42  +0000 	740.0
 host82 	 m2 	 2019-10-19  07:13:43  +0000 	710.0
 host82 	 m2 	 2019-10-19  07:13:44  +0000 	570.0
 host82 	 m2 	 2019-10-19  07:13:44  +0000 	610.0
 host82 	 m2 	 2019-10-19  07:13:44  +0000 	480.0
 host25 	 m1 	 2019-10-19  07:13:41  +0000 	92.0
 host25 	 m1 	 2019-10-19  07:13:42  +0000 	89.0
 host25 	 m1 	 2019-10-19  07:13:42  +0000 	88.0
 host25 	 m1 	 2019-10-19  07:13:42  +0000 	75.0
